Strain_new_name	D-fructose	D-glucose	L-glutamic acid	MLB	alpha-Lactose	casamino acids	gelatin	i-carrageenan	maltose	salicin	sodium alginate	sucrose
181a1	0.16	0.25	0.17	0.17	0.09	0.22	0.14	0.07	0.14	0.23	0.31	0.09
181a3	0.18	0.25	0.10	0.22	0.07	0.24	0.18		0.15	0.20	0.29	0.09
181a4	0.21	0.24	0.11	0.24	0.08	0.26	0.20		0.16	0.26	0.36	0.12
181a6	0.21	0.28	0.11	0.25	0.09	0.23	0.21		0.15	0.19	0.20	0.11
181a7	0.15	0.21	0.12	0.15	0.08	0.17	0.11	0.05	0.15	0.16	0.26	0.09
184a2	0.17	0.28	0.13	0.20	0.08	0.23	0.11	0.05	0.15	0.17	0.25	0.10
184a5	0.16	0.22	0.14	0.13	0.06	0.21	0.13		0.13	0.19	0.22	0.09
184b1	0.20	0.36	0.13	0.21	0.12	0.33	0.15	0.15	0.20	0.24	0.36	0.18
184c1	0.16	0.26	0.11	0.22	0.09	0.31	0.17	0.16	0.16	0.20	0.24	0.11
184c2	0.16	0.28	0.13	0.24	0.09	0.30	0.17	0.14	0.15	0.21	0.23	0.12
184d1	0.23	0.39	0.21	0.27	0.17	0.36	0.22	0.17	0.19	0.27	0.40	0.24
184e1	0.18	0.30	0.13	0.22	0.11	0.33	0.13	0.11	0.19	0.31	0.27	0.18
184f1	0.22	0.37	0.21	0.21	0.12	0.36	0.18	0.19	0.17	0.32	0.50	0.16
Cba18	0.34	0.47	0.15	0.31	0.15	0.39	0.22	0.17	0.25	0.39	0.59	0.23
