Strain_new_name	D-fructose	D-glucose	L-glutamic acid	MLB	alpha-Lactose	casamino acids	gelatin	i-carrageenan	maltose	salicin	sodium alginate	sucrose
181a1	0.00	0.00	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
181a3	0.02	0.02	0.00	0.01	0.01	0.00	0.01		0.00	0.01	0.06	0.00
181a4	0.01	0.01	0.00	0.02	0.00	0.01	0.00		0.00	0.01	0.04	0.00
181a6	0.00	0.02	0.01	0.01	0.01	0.00	0.01		0.00	0.01	0.05	0.00
181a7	0.01	0.02	0.00	0.01	0.00	0.03			0.01	0.00	0.06	0.00
184a2	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.03	0.00
184a5	0.01	0.02	0.00	0.01	0.01	0.00	0.00		0.01	0.01	0.02	0.00
184b1	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00
184c1	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.02	0.00
184c2	0.01	0.01	0.01	0.02	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.00
184d1	0.02	0.02	0.01	0.02	0.01	0.02	0.00	0.01	0.01	0.02	0.03	0.02
184e1	0.00	0.00	0.01	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.03	0.01
184f1	0.01	0.03	0.01	0.05	0.02	0.02	0.01	0.02	0.03	0.02	0.01	0.01
Cba18	0.02	0.01	0.00	0.01	0.01	0.02	0.01	0.00	0.01	0.04	0.02	0.01
