Strain_new_name	D-fructose	D-glucose	L-glutamic acid	MLB	alpha-Lactose	casamino acids	gelatin	i-carrageenan	maltose	salicin	sodium alginate	sucrose
181a1	0.45	0.52	1.15	0.54	0.61	0.55	0.63	0.41	0.56	0.58	0.53	0.38
181a3	0.53	0.53	0.70	0.73	0.47	0.61	0.79		0.58	0.51	0.50	0.41
181a4	0.62	0.50	0.77	0.79	0.53	0.66	0.92		0.62	0.66	0.62	0.51
181a6	0.60	0.60	0.74	0.80	0.58	0.59	0.93		0.60	0.49	0.33	0.48
181a7	0.44	0.44	0.85	0.49	0.56	0.44	0.48	0.32	0.58	0.42	0.44	0.41
184a2	0.50	0.60	0.86	0.64	0.52	0.58	0.51	0.29	0.60	0.44	0.43	0.42
184a5	0.47	0.47	0.94	0.41	0.43	0.54	0.60		0.51	0.49	0.38	0.38
184b1	0.59	0.76	0.89	0.68	0.82	0.84	0.66	0.89	0.81	0.62	0.61	0.80
184c1	0.47	0.55	0.76	0.72	0.58	0.78	0.75	0.94	0.62	0.51	0.41	0.49
184c2	0.47	0.59	0.89	0.78	0.60	0.75	0.77	0.83	0.61	0.53	0.40	0.53
184d1	0.68	0.83	1.41	0.89	1.16	0.90	1.00	0.98	0.74	0.70	0.69	1.06
184e1	0.52	0.63	0.91	0.73	0.71	0.84	0.60	0.65	0.74	0.79	0.46	0.79
184f1	0.64	0.79	1.43	0.68	0.78	0.92	0.82	1.11	0.68	0.83	0.85	0.71
Cba18	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
