Strain_new_name	D-fructose	D-glucose	L-glutamic acid	MLB	alpha-Lactose	casamino acids	gelatin	i-carrageenan	maltose	salicin	sodium alginate	sucrose
181a1	0.03	0.02	0.09	0.08	0.05	0.04	0.03	0.02	0.04	0.07	0.02	0.02
181a3	0.08	0.05	0.04	0.08	0.07	0.05	0.05		0.03	0.08	0.11	0.03
181a4	0.07	0.03	0.04	0.09	0.04	0.06	0.05		0.04	0.10	0.09	0.03
181a6	0.03	0.07	0.06	0.07	0.08	0.05	0.07		0.02	0.07	0.09	0.02
181a7	0.05	0.06	0.04	0.07	0.04	0.10			0.04	0.05	0.11	0.02
184a2	0.04	0.02	0.08	0.06	0.03	0.07	0.03	0.08	0.03	0.09	0.06	0.02
184a5	0.04	0.05	0.05	0.06	0.06	0.04	0.03		0.04	0.07	0.05	0.02
184b1	0.03	0.03	0.08	0.05	0.05	0.06	0.03	0.07	0.04	0.08	0.03	0.04
184c1	0.03	0.04	0.09	0.07	0.05	0.06	0.04	0.03	0.03	0.07	0.05	0.03
184c2	0.04	0.03	0.06	0.10	0.04	0.05	0.05	0.05	0.05	0.08	0.04	0.03
184d1	0.08	0.06	0.09	0.09	0.11	0.09	0.05	0.05	0.08	0.13	0.08	0.12
184e1	0.03	0.03	0.12	0.07	0.07	0.09	0.03	0.12	0.05	0.12	0.06	0.06
184f1	0.07	0.08	0.07	0.20	0.16	0.11	0.06	0.16	0.12	0.13	0.05	0.06
Cba18	0.10	0.05	0.05	0.09	0.10	0.12	0.07	0.04	0.07	0.22	0.06	0.08
