Date	Strain_new_name	C_source	Replicate	r
20240319	Cba18	D-glucose	R1	0.474236328
20240319	Cba18	L-glutamic acid	R1	0.140594284
20240319	Cba18	alpha-Lactose	R1	0.16071068
20240319	Cba18	MLB	R1	0.321890753
20240319	Cba18	maltose	R1	0.265648075
20240319	Cba18	sucrose	R1	0.242715747
20240319	Cba18	D-fructose	R1	0.370284089
20240319	Cba18	D-glucose	R2	0.488593749
20240319	Cba18	L-glutamic acid	R2	0.153739617
20240319	Cba18	alpha-Lactose	R2	0.150781921
20240319	Cba18	MLB	R2	0.308340021
20240319	Cba18	maltose	R2	0.252464898
20240319	Cba18	sucrose	R2	0.231237108
20240319	Cba18	D-fructose	R2	0.350347351
20240319	Cba18	D-glucose	R3	0.44632851
20240319	Cba18	L-glutamic acid	R3	0.143783196
20240319	Cba18	alpha-Lactose	R3	0.135279515
20240319	Cba18	MLB	R3	0.291242065
20240319	Cba18	maltose	R3	0.236581119
20240319	Cba18	sucrose	R3	0.212109509
20240319	Cba18	D-fructose	R3	0.309118947
20240319	181a6	D-glucose	R1	0.262729081
20240319	181a6	L-glutamic acid	R1	0.097869169
20240319	181a6	alpha-Lactose	R1	0.081700504
20240319	181a6	MLB	R1	0.296137661
20240319	181a6	maltose	R1	0.149446742
20240319	181a6	sucrose	R1	0.110342071
20240319	181a6	D-fructose	R1	0.206442669
20240319	181a6	D-glucose	R2	0.249972587
20240319	181a6	L-glutamic acid	R2	0.108218869
20240319	181a6	alpha-Lactose	R2	0.101280837
20240319	181a6	MLB	R2	0.249641233
20240319	181a6	maltose	R2	0.152595069
20240319	181a6	sucrose	R2	0.109487941
20240319	181a6	D-fructose	R2	0.207105435
20240319	181a6	D-glucose	R3	0.328679658
20240319	181a6	L-glutamic acid	R3	0.117875926
20240319	181a6	alpha-Lactose	R3	0.077093756
20240319	181a6	MLB	R3	0.23474097
20240319	181a6	maltose	R3	0.151571851
20240319	181a6	sucrose	R3	0.109016532
20240319	181a6	D-fructose	R3	0.208392593
20240319	181a3	D-glucose	R1	0.274188515
20240319	181a3	L-glutamic acid	R1	0.098991344
20240319	181a3	alpha-Lactose	R1	0.056892141
20240319	181a3	MLB	R1	0.179629657
20240319	181a3	maltose	R1	0.150794861
20240319	181a3	sucrose	R1	0.090549348
20240319	181a3	D-fructose	R1	0.189805443
20240319	181a3	D-glucose	R2	0.217011824
20240319	181a3	L-glutamic acid	R2	0.097081223
20240319	181a3	alpha-Lactose	R2	0.076895842
20240319	181a3	maltose	R2	0.145258828
20240319	181a3	sucrose	R2	0.091722403
20240319	181a3	D-fructose	R2	0.146837679
20240319	181a3	D-glucose	R3	0.254555212
20240319	181a3	L-glutamic acid	R3	0.109186729
20240319	181a3	alpha-Lactose	R3	0.074192954
20240319	181a3	MLB	R3	0.251922895
20240319	181a3	maltose	R3	0.13957337
20240319	181a3	sucrose	R3	0.097481392
20240319	181a3	D-fructose	R3	0.211858855
20240319	181a4	D-glucose	R1	0.251836894
20240319	181a4	L-glutamic acid	R1	0.116705908
20240319	181a4	alpha-Lactose	R1	0.079184175
20240319	181a4	MLB	R1	0.246989348
20240319	181a4	maltose	R1	0.147884181
20240319	181a4	sucrose	R1	0.112097295
20240319	181a4	D-fructose	R1	0.199981604
20240319	181a4	D-glucose	R2	0.23335207
20240319	181a4	L-glutamic acid	R2	0.112701425
20240319	181a4	alpha-Lactose	R2	0.082315647
20240319	181a4	MLB	R2	0.271977462
20240319	181a4	maltose	R2	0.161647432
20240319	181a4	sucrose	R2	0.116124571
20240319	181a4	D-fructose	R2	0.195011603
20240319	181a4	D-glucose	R3	0.220167086
20240319	181a4	L-glutamic acid	R3	0.106816647
20240319	181a4	alpha-Lactose	R3	0.076509269
20240319	181a4	MLB	R3	0.30588296
20240319	181a4	maltose	R3	0.160265805
20240319	181a4	sucrose	R3	0.119348893
20240319	181a4	D-fructose	R3	0.238431004
20240326	184a5	D-glucose	R1	0.186971756
20240326	184a5	alpha-Lactose	R1	0.036735008
20240326	184a5	maltose	R1	0.135433805
20240326	184a5	sucrose	R1	0.089452891
20240326	184a5	D-fructose	R1	0.166922639
20240326	184a5	L-glutamic acid	R1	0.143011707
20240326	184a5	MLB	R1	0.115551112
20240326	181a7	alpha-Lactose	R1	0.080646052
20240326	181a7	alpha-Lactose	R2	0.084528711
20240326	181a7	alpha-Lactose	R3	0.084408597
20240326	181a7	D-fructose	R1	0.140749978
20240326	181a7	D-fructose	R2	0.175376552
20240326	181a7	D-fructose	R3	0.120970814
20240326	181a7	D-glucose	R1	0.145501634
20240326	181a7	D-glucose	R2	0.278770367
20240326	181a7	D-glucose	R3	0.209325796
20240326	181a7	L-glutamic acid	R1	0.12405088
20240326	181a7	L-glutamic acid	R2	0.127230779
20240326	184a5	D-fructose	R2	0.166830184
20240326	181a7	L-glutamic acid	R3	0.120114714
20240326	184a5	L-glutamic acid	R2	0.128612482
20240326	181a7	maltose	R1	0.136071978
20240326	184a5	MLB	R2	0.164393995
20240326	184a5	D-glucose	R2	0.248391193
20240326	184a5	alpha-Lactose	R2	0.075813134
20240326	181a7	maltose	R2	0.155202216
20240326	184a5	maltose	R2	0.154498282
20240326	181a7	maltose	R3	0.1446179
20240326	184a5	sucrose	R2	0.086476597
20240326	181a7	MLB	R1	0.105342932
20240326	184c1	D-fructose	R1	0.162778077
20240326	181a7	MLB	R2	0.199867097
20240326	184c1	L-glutamic acid	R1	0.116494192
20240326	181a7	MLB	R3	0.157428705
20240326	184c1	MLB	R1	0.218706045
20240326	184c1	D-glucose	R1	0.244027764
20240326	181a7	sucrose	R1	0.092617325
20240326	184c1	alpha-Lactose	R1	0.084518825
20240326	184c1	maltose	R1	0.15283404
20240326	181a7	sucrose	R2	0.094360185
20240326	184c1	sucrose	R1	0.114494536
20240326	181a7	sucrose	R3	0.096822104
20240326	181a1	D-glucose	R1	0.247870268
20240326	184a5	D-fructose	R3	0.149083779
20240326	181a1	L-glutamic acid	R1	0.171867231
20240326	184a5	L-glutamic acid	R3	0.138271503
20240326	181a1	MLB	R1	0.19368122
