metabolite_id	metabolite_name
cpd14700_c0	2-Methyl-1-hydroxypropyl-TPP [c0]
cpd02700_c0	S-(2-Methylpropionyl)-dihydrolipoamide [c0]
cpd02566_c0	2,3-Dihydroxy-2,3-dihydrobenzoate [c0]
cpd11440_c0	fa6 [c0]
cpd11441_c0	fa6coa [c0]
cpd11527_c0	7-methyl-trans-oct-2-enoyl-ACP [c0]
cpd11528_c0	7-methyl-octanoyl-ACP [c0]
cpd00851_c0	trans-4-Hydroxy-L-proline [c0]
cpd02175_c0	cis-4-Hydroxy-D-proline [c0]
cpd00900_c0	GDP-4-dehydro-D-rhamnose [c0]
cpd00521_c0	dTDP-4-oxo-6-deoxy-D-glucose [c0]
cpd00522_c0	dTDP-4-oxo-L-rhamnose [c0]
cpd07923_c0	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate [c0]
cpd07924_c0	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate [c0]
cpd08449_c0	3-Amino-2-oxopropyl phosphate [c0]
cpd00478_c0	Pyridoxine phosphate [c0]
cpd15688_c0	CDP-1,2-diisohexadecanoylglycerol [c0]
cpd15694_c0	Diisohexadecanoylphosphatidylserine [c0]
cpd00144_c0	UDPglucuronate [c0]
cpd02168_c0	Prephytoene diphosphate [c0]
cpd03211_c0	15-cis-Phytoene [c0]
cpd03524_c0	10-Formyl-THF-L-glutamate [c0]
cpd00477_c0	N-Acetyl-L-glutamate [c0]
cpd03349_c0	5-Hydroxykynurenamine [c0]
cpd03362_c0	5-Hydroxykynurenine [c0]
cpd00199_c0	4-Oxobutanoate [c0]
cpd15317_c0	1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl [c0]
cpd00908_c0	Glycerophosphoethanolamine [c0]
cpd15237_c0	hexadecenoate [c0]
cpd04097_c0	Pb [c0]
cpd04097_e0	Pb [e0]
cpd03414_c0	UroporphyrinogenI [c0]
cpd03416_c0	CoproporphyrinogenI [c0]
cpd02506_c0	5-Amino-4-imidazolecarboxyamide [c0]
cpd15331_c0	1-tetradecanoyl-sn-glycerol 3-phosphate [c0]
cpd15522_c0	1,2-ditetradecanoyl-sn-glycerol 3-phosphate [c0]
cpd15682_c0	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate [c0]
cpd11543_c0	15-methyl-trans-hexa-dec-2-enoyl-ACP [c0]
cpd11544_c0	15-methyl-hexa-decanoyl-ACP [c0]
cpd15685_c0	CDP-1,2-diisotetradecanoylglycerol [c0]
cpd15691_c0	Diisotetradecanoylphosphatidylserine [c0]
cpd15506_c0	two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain) [c0]
cpd15505_c0	two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain) [c0]
cpd15350_c0	2-dodecanoyl-sn-glycerol 3-phosphate [c0]
cpd15308_c0	1,2-Diacyl-sn-glycerol ditetradec-7-enoyl [c0]
cpd15523_c0	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate [c0]
cpd00530_c0	XTP [c0]
cpd15702_c0	1,2-Dianteisoheptadecanoyl-sn-glycerol [c0]
cpd15678_c0	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate [c0]
cpd15422_c0	CDP-1,2-ditetradec-7-enoylglycerol [c0]
cpd00493_c0	Pyridoxamine phosphate [c0]
cpd15357_c0	2-octadec-11-enoyl-sn-glycerol 3-phosphate [c0]
cpd15269_c0	octadecenoate [c0]
cpd03205_c0	Phytoene [c0]
cpd11502_c0	6-methyl-trans-oct-2-enoyl-ACP [c0]
cpd11503_c0	6-methyl-octanoyl-ACP [c0]
cpd00581_c0	Urocanate [c0]
cpd03124_c0	Hexanoyl-CoA [c0]
cpd03121_c0	3-Oxooctanoyl-CoA [c0]
cpd11522_c0	5-methyl-3-hydroxy-hexanoyl-ACP [c0]
cpd11523_c0	5-methyl-trans-hex-2-enoyl-ACP [c0]
cpd15423_c0	CDP-1,2-ditetradecanoylglycerol [c0]
cpd15553_c0	phosphatidylserine ditetradecanoyl [c0]
cpd15239_c0	Hexadecenoyl-ACP [c0]
cpd15418_c0	CDP-1,2-dihexadec-9-enoylglycerol [c0]
cpd15556_c0	phosphatidylserine dihexadec-9-enoyl [c0]
cpd02090_c0	Glycerophosphoglycerol [c0]
cpd01335_c0	Octanoyl-CoA [c0]
cpd03130_c0	(2E)-Octenoyl-CoA [c0]
cpd14702_c0	2-Methyl-1-hydroxybutyl-TPP [c0]
cpd00905_c0	Guanosine 3',5'-bis(diphosphate) [c0]
cpd02160_c0	N2-Succinyl-L-ornithine [c0]
cpd18031_c0	N-Succinyl-L-citrulline [c0]
cpd15529_c0	phosphatidylethanolamine ditetradecanoyl [c0]
cpd15336_c0	2-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl [c0]
cpd01795_c0	2-Deoxy-D-gluconate [c0]
cpd02441_c0	3-Dehydro-2-deoxy-D-gluconate [c0]
cpd11526_c0	7-methyl-3-hydroxy-octanoyl-ACP [c0]
cpd11514_c0	12-methyl-trans-tetra-dec-2-enoyl-ACP [c0]
cpd11515_c0	12-methyl-tetra-decanoyl-ACP [c0]
cpd15722_c0	Diisoheptadecanoylphosphatidylglycerol [c0]
cpd15794_c0	Isoheptadecanoylcardiolipin (B. subtilis) [c0]
cpd11537_c0	13-methyl-3-oxo-tetra-decanoyl-ACP [c0]
cpd11538_c0	13-methyl-3-hydroxy-tetra-decanoyl-ACP [c0]
