Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-5175	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-3398	ORG-6001	RXN-8030 // RXN-8029 // RXN-8028
PWY-5459	Methylglyoxal-Detoxification // Super-Pathways // Aldehyde-Degradation	Methylglyoxal-Detoxification // Super-Pathways	TAX-2	TAX-511145	1.1.1.283-RXN // PWY0-1317
PWY-8277	Cofactor-Biosynthesis	NAD-SYN	TAX-2157 // TAX-2	TAX-511145 // TAX-837 // TAX-53953	RXN-9772 // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
TRYPTOPHAN-DEGRADATION-1	Super-Pathways // Amino-Acid-Degradation	Super-Pathways // TRYPTOPHAN-DEG	TAX-4751 // TAX-33208	TAX-9606 // TAX-10090 // TAX-10116 // TAX-4932	PWY-5177 // PWY-5651 // PWY-5652
MALTOSECAT-PWY	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-1580 // TAX-1358 // TAX-487	BETA-PHOSPHOGLUCOMUTASE-RXN // MALTOSE-PHOSPHORYLASE-RXN
PWY-7940	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-191412	TAX-274537 // TAX-1097 // TAX-331678 // TAX-290317	RXN-19138 // RXN-19139 // RXN-19140
PWY3O-4107	Cofactor-Biosynthesis	NAD-SYN	TAX-2759	TAX-4932	RXN-15025 // NAD-SYNTH-GLN-RXN // NICOTINAMID-RXN // NICOTINATEPRIBOSYLTRANS-RXN // NICONUCADENYLYLTRAN-RXN
PWY-5081	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-4751	TAX-4932	2.6.1.28-RXN // 1.1.1.190-RXN // 4.1.1.74-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
PWY-8324	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2	TAX-1402 // TAX-571 // TAX-573 // TAX-28901	RXN-22448 // TRANS-RXN-416 // TAGAALDOL-RXN
PWY-5943	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-4751 // TAX-2 // TAX-2763 // TAX-3041 // TAX-33090	TAX-1703 // TAX-4072 // TAX-3649 // TAX-39639 // TAX-553 // TAX-4081 // TAX-4113 // TAX-264483 // ORG-5993 // ORG-6001	RXN1F-150 // RXN1F-151
GALACT-GLUCUROCAT-PWY	Super-Pathways	Super-Pathways	TAX-2	TAX-511145	GLUCUROCAT-PWY // GALACTUROCAT-PWY
NAD-BIOSYNTHESIS-II	Cofactor-Biosynthesis	NAD-SYN	TAX-2	TAX-714 // TAX-511145 // TAX-727 // TAX-1358 // TAX-272131 // TAX-747 // TAX-730	RXN-5841 // RXN-5822 // NADPYROPHOSPHAT-RXN
PWY-6307	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-40674	TAX-9823 // TAX-10090 // TAX-10116 // TAX-9606	1.1.1.191-RXN // RXN-1401 // RXN-10715 // AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
PWY-3861	Carbohydrates-Degradation // Alcohol-Degradation	Mannitol-Degradation	TAX-58023	TAX-4045 // ORG-5886	RXN-14500 // 1.1.1.255-RXN // MANNKIN-RXN // MANNPISOM-RXN
PWY-5046	Energy-Metabolism	Respiration	TAX-2759 // TAX-2 // TAX-2157	TAX-1422 // TAX-9606 // TAX-10090 // TAX-287 // TAX-303 // TAX-10116 // TAX-2287 // TAX-1142	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN
PWY-7950	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-2836 // TAX-2864 // TAX-2833 // TAX-2825	TAX-29205 // TAX-2850	RXN-19203 // RXN-19198 // RXN-19197 // RXN-19196 // RXN-19184
PWY-3502	Super-Pathways // Cofactor-Biosynthesis	NAD-SYN // Super-Pathways	TAX-2759	TAX-4932	PWY3O-4106 // NADSYN-PWY // PWY3O-4107
PWY-8017	Super-Pathways // Amino-Acid-Degradation // Energy-Metabolism	Stickland-Reductive // Super-Pathways // TRYPTOPHAN-DEG	TAX-2	TAX-1509	RXN-19896 // RXN-19895 // TRPKYNCAT-PWY // TRYPTOPHAN-AMINOTRANSFERASE-RXN // INDOLELACTATE-DEHYDROGENASE-RXN // RXN-19885
PWY0-1301	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-2759 // TAX-2 // TAX-2157	TAX-511145	ALPHAGALACTOSID-RXN
PWY-5946	SECONDARY-METABOLITE-BIOSYNTHESIS	C40-Carotenoids-Biosynthesis	TAX-4751 // TAX-2763 // TAX-3041 // TAX-1117 // TAX-33090	TAX-167539 // TAX-4072 // TAX-4081 // TAX-4113 // TAX-264483 // ORG-5993 // ORG-6001	RXN1F-148 // RXN1F-147
PWY-5717	Super-Pathways	Super-Pathways	TAX-3803	TAX-3827 // TAX-3879 // TAX-3880 // TAX-57577	PWY-2904 // PWY-2464 // PWY-2463
PWY-7761	Cofactor-Biosynthesis	NAD-SYN	TAX-2	TAX-511145 // TAX-90371	NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NADPYROPHOSPHAT-RXN // NMNAMIDOHYDRO-RXN // NICONUCADENYLYLTRAN-RXN
TRYPDEG-PWY	Amino-Acid-Degradation	TRYPTOPHAN-DEG	TAX-2	TAX-644 // TAX-548 // TAX-511145 // TAX-856 // TAX-44250 // TAX-747 // TAX-1747 // TAX-585 // TAX-2734 // TAX-666 // TAX-669 // ORG-6015 // ORG-5991	RXN-15578 // RXN-15127 // RXN-15124
PWY-6778	Carbohydrates-Degradation	Sugars-And-Polysaccharides-Degradation	TAX-131567	TAX-3039	LAMINARIBIOSE-PHOSPHORYLASE-RXN
