Pathways	Common-Name
PWY-5284	shisonin biosynthesis
PWY-7820	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)
PWY-7858	(5Z)-dodecenoate biosynthesis II
PWY-5482	pyruvate fermentation to acetate II
PWY-8056	anandamide lipoxygenation
PWY-6622	heptadecane biosynthesis
PWY-7344	UDP-&alpha;-D-galactose biosynthesis
PWY-4922	6-methoxymellein biosynthesis
PWY-8025	cyanuric acid degradation I
PWY-6714	L-rhamnose degradation III
PWY-7523	L-arginine degradation XII
PWY-7586	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation
PWY-8352	NAD <i>de novo</i> biosynthesis III
PWY-7150	polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)
PWY-7298	nevadensin biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5975	furaneol and mesifurane biosynthesis
PWY66-399	gluconeogenesis III
PWY-6373	acrylate degradation I
PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation
PWY-1921	indole-3-acetate activation II
PWY-6963	ammonia assimilation cycle I
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate
PWY-7067	betulinate biosynthesis
PWY-8023	salmochelin biosynthesis
PWY-7650	echinocandin B biosynthesis
PWY-7749	(-)-4'-demethyl-epipodophyllotoxin biosynthesis
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)
PWY-8428	2-<i>O</i>-(&beta;-D-mannosyl-(1&rarr;2)-&beta;-D-mannosyl)-bis(<i>myo</i>-inositol) 1,3'-phosphate biosynthesis
PWY-7948	4-oxopentanoate degradation
P343-PWY	resorcinol degradation
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)
PWY-8033	aureothin biosynthesis
P261-PWY	coenzyme M biosynthesis I
PWY66-374	C20 prostanoid biosynthesis
PWY-6898	thiamine diphosphate salvage III
PWY-2201	folate transformations I
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)
PWY-3881	mannitol biosynthesis
PWY-6381	bisucaberin biosynthesis
PWY1YI0-3	succinate to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)
PWY-8336	valinomycin biosynthesis
PWY-5152	leucodelphinidin biosynthesis
PWY-6423	hemoglobin degradation
PWY66-4	cholesterol biosynthesis III (via desmosterol)
PWY-4681	kievitone biosynthesis
PWY-7807	glyphosate degradation III
PWY-8360	hectochlorin biosynthesis
PWY-5670	epoxysqualene biosynthesis
PWY-5643	2,6-dinitrotoluene degradation
PWY-7025	gentamicin biosynthesis
PWY-8177	nerol biosynthesis
PWY-8502	indigoidine biosynthesis
PWY-5034	gibberellin A<sub>12</sub> biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY0-1599	periplasmic disulfide bond formation
LCYSDEG-PWY	L-cysteine degradation II
PWY-5180	toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)
PWY-7524	mevalonate pathway III (Thermoplasma)
PWY-5729	vestitol and sativan biosynthesis
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-7674	CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)
PWY-6154	autoinducer AI-2 biosynthesis II (<i>Vibrio</i>)
PWY-7421	narbomycin, pikromycin and novapikromycin biosynthesis
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)
PWY-7040	violacein biosynthesis
PWY-7079	geodin biosynthesis
PWY-5797	indole-3-acetate inactivation VI
PWY-7237	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
PWY-4261	glycerol degradation I
PWY-6672	<i>cis</i>-geranyl-CoA degradation
PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
PWY-7174	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)
PWY-7385	1,3-propanediol biosynthesis (engineered)
PWY-7984	acinetobactin biosynthesis
PWY-3097	superpathway of isoflavonoids (via naringenin)
PWY-2901	cytokinins 9-<i>N</i>-glucoside biosynthesis
PWY-7895	ethionamide activation
PWY-8043	ophthalmate biosynthesis
PWY-5793	maysin biosynthesis
P662-PWY	dibenzofuran degradation
PWY-7609	superpathway of roquefortine, meleagrin and neoxaline biosynthesis
PWY-6999	theophylline degradation
PWY-6052	dimethylsulfoniopropanoate degradation III (demethylation)
PWY-7405	aurachin RE biosynthesis
PWY-8521	brucine biosynthesis
PWY-6493	chanoclavine I aldehyde biosynthesis
PWY0-1573	nitrate reduction VIIIb (dissimilatory)
PWY-5109	propanoate fermentation to 2-methylbutanoate
PWY-8470	monocistronic tRNA processing II
PWY-5794	malonate degradation I (biotin-independent)
PWY-5031	L-histidine degradation V
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-5339	chalcone 2'-<i>O</i>-glucoside biosynthesis
PWY-7651	heparan sulfate degradation
PWY-6095	dammara-20,24-diene biosynthesis
PWY-6271	eudesmol biosynthesis
PWY-7289	L-cysteine biosynthesis V (mycobacteria)
PWY-6588	pyruvate fermentation to acetone
PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II
PWY-5268	salvianin biosynthesis
PWY-101	photosynthesis light reactions I (plastocyanin)
PWY-8134	bile acid 7&beta;-dehydroxylation
PWY-6045	methylthiopropanonate degradation II (demethylation)
PWY-6378	putrebactin biosynthesis
PWY-7776	ethene and chloroethene degradation
PWY-7141	(3<i>S</i>)-linalool biosynthesis
PWY-7825	juglone degradation
PWY-7450	anthocyanidin modification (<i>Arabidopsis</i>)
PWY-7860	nitric oxide biosynthesis III (bacteria)
PWY-5959	aflatoxins B<sub>1</sub> and G<sub>1</sub> biosynthesis
PWY-5071	superpathway of rosmarinic acid biosynthesis
PWY-6374	vibriobactin biosynthesis
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol
PWY-5340	sulfate activation for sulfonation
PWY0-1261	peptidoglycan recycling I
PWY-5021	willardiine and isowillardiine biosynthesis
PWY-5342	ajugose biosynthesis I (galactinol-dependent)
PWY-8041	ultra-long-chain fatty acid biosynthesis
PWY-8186	L-proline degradation II (reductive Stickland reaction)
PWY-6932	selenate reduction III
ASPARAGINE-DEG1-PWY	L-asparagine degradation I
PWY-5853	demethylmenaquinol-6 biosynthesis I
PWY490-3	nitrate reduction VI (assimilatory)
PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation)
M-CRESOL-DEGRADATION-PWY	<I>m</I>-cresol degradation
PWY-6697	oxalate degradation IV
PWY-5415	catechol degradation I (<I>meta</I>-cleavage pathway)
PWY-8074	Kdo transfer to lipid IV<sub>A</sub> (<i>P. putida</i>)
PWY-7950	diadinoxanthin and fucoxanthin biosynthesis (diatoms)
PWY-3181	L-tryptophan degradation VI (via tryptamine)
PWY-6678	geraniol and nerol degradation
PWY-5743	3-hydroxypropanoate cycle
PWY-6769	rhamnogalacturonan type I degradation I
PWY4LZ-257	superpathway of fermentation (<i>Chlamydomonas reinhardtii</i>)
P142-PWY	pyruvate fermentation to acetate I
PWY-5267	glucosinolate activation
PWY-7342	superpathway of nicotine biosynthesis
PWY-7797	nocardicin A biosynthesis
PWY-7440	dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis
PWY-8127	chlorophyll <i>b</i><sub>2</sub> biosynthesis
PWY-5151	L-tyrosine degradation II
PWY-5068	chlorophyll cycle
PWY-6044	methanesulfonate degradation
PWY-2242	ammonia oxidation III
PWY-5254	methanofuran biosynthesis
CO2FORM-PWY	methanogenesis from methanol
PWY-7414	dTDP-&alpha;-D-mycaminose biosynthesis
PWY-6338	superpathway of vanillin and vanillate degradation
PWY-6383	<i>trans</i>,octa-<i>cis</i> decaprenyl phosphate biosynthesis
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)
PWY2DNV-4	lipid A-core biosynthesis (<i>H. pylori</i>)
PWY-5802	alizarin biosynthesis
PWY0-1567	NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY-7115	C4 photosynthetic carbon assimilation cycle, NAD-ME type
PWY-6763	salicortin biosynthesis
PWY-8304	methanogenesis from methoxylated aromatic compounds
PWY-7113	furcatin degradation
PWY-8227	superpathway of enterobacterial common antigen biosynthesis
PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)
PWY-6510	methanol oxidation to formaldehyde II
PWY0-1601	cadaverine biosynthesis
PWY-6190	2,4-dichlorotoluene degradation
PWY-8399	icosapentaenoate metabolites biosynthesis
NAD-BIOSYNTHESIS-II	NAD salvage pathway III (to nicotinamide riboside)
PWY-5002	tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)
PWY-5271	abscisic acid degradation to phaseic acid
PWY-7891	tRNA-uridine<sup>34</sup> modifications (yeast mitochondria)
URDEGR-PWY	superpathway of allantoin degradation in plants
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
PWY1A0-6120	streptorubin B biosynthesis
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)
PWY-8328	acetate and ATP formation from acetyl-CoA III
PWY-7517	brassicicene C biosynthesis
PWY18C3-21	phenylpropanoid volatiles glycoconjugation (tomato)
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation
PWY66-393	15-<i>epi</i>-lipoxin biosynthesis
PWY-7441	polymyxin A biosynthesis
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)
PWY-6636	salicylate degradation III
PWY-6937	superpathway of testosterone and androsterone degradation
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol)
PWY-5637	nitrobenzene degradation I
PWY-5184	toluene degradation VI (anaerobic)
PWY-6475	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)
PWY-8130	5'-deoxyadenosine degradation I
PWY-821	superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>)
PWY-7130	L-glucose degradation
PWY-8435	yeast mannan degradation
PWY-5138	fatty acid &beta;-oxidation IV (unsaturated, even number)
PWY-7498	phenylpropanoids methylation (ice plant)
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY-7509	cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)
KETOGLUCONMET-PWY	ketogluconate metabolism
PWY-6816	agarose degradation
PWY-5801	lawsone biosynthesis
PWY-6607	guanosine nucleotides degradation I
PWY-4985	mimosine biosynthesis
PWY-8520	akuammicine biosynthesis
PWY-7854	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)
PWY-8022	salmochelin degradation
PWY-5083	NAD(P)/NADPH interconversion
PWY2DNV-2	(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>H. pylori</i>)
PWY-6595	superpathway of guanosine nucleotides degradation (plants)
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation
PWY-8516	blue chromoprotein chromophore biosynthesis
