Pathways	Reactions of pathway
PWY-5284	RXN-8204 // RXN-8205 // RXN-8171 // RXN-8170 // RXN-8169
PWY-7820	RXN-18067 // RXN-18066 // RXN-18065 // RXN-18064 // TRANS-RXN-322 // RXN-18063 // RXN-14571 // UGD-RXN // UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
PWY-7858	RXN-18461 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
PWY-5482	ACETATEKIN-RXN // PHOSACETYLTRANS-RXN // PYRUVDEH-RXN
PWY-8056	RXN-20571 // RXN-20572 // RXN-20573 // RXN-20574 // RXN-20575 // RXN-20576
PWY-6622	RXN-13268 // OCTADECANAL-DECARBONYLASE-RXN // RXN-11707
PWY-7344	UDPGLUCEPIM-RXN
PWY-4922	RXN-7404 // 6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN // RXN-7405
PWY-8025	RXN0-5222 // RXN-20065 // RXN-20064 // RXN-20063 // RXN-20062
PWY-6714	RXN-12158 // RXN-12149 // L-RHAMNOSE-1-DEHYDROGENASE-RXN // RXN-12096 // RXN-12095 // L-RHAMNONATE-DEHYDRATASE-RXN // L-RHAMNONO-14-LACTONASE-RXN
PWY-7523	GUANIDINOBUTYRASE-RXN // RXN-15646 // 4.1.1.75-RXN // RXN-15645
PWY-7586	MANNPISOM-RXN // PHOSMANMUT-RXN // RXN-15203
PWY-8352	RXN-22981 // QUINOLINATE-SYNTHA-RXN // QUINOPRIBOTRANS-RXN // NAD-SYNTH-NH3-RXN // NAD-SYNTH-GLN-RXN // NICONUCADENYLYLTRAN-RXN
PWY-7150	RXN-13876 // RXN-13846 // RXN-13845 // RXN-13841 // RXN-13840 // RXN-13838 // RXN-13844 // 2.1.1.83-RXN // 2.1.1.82-RXN
PWY-7298	RXN-14657 // RXN-14656 // RXN-14635 // RXN-14639 // RXN-14655
PWY-5862	RXN-9204 // TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN
PWY-5975	RXN-18820 // RXN-16210 // RXN-9577 // RXN-9575 // RXN-9574 // RXN-9571 // RXN-9563 // RXN-9566
PWY66-399	PGLUCISOM-RXN // MALATE-DEH-RXN // RXN66-526 // 4.1.1.32-RXN // PYRUVATE-CARBOXYLASE-RXN // TRIOSEPISOMERIZATION-RXN // 2PGADEHYDRAT-RXN // RXN-15513 // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN
PWY-6373	RXN-6384 // RXN-6383 // RXN-10985 // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-9958
PWY-7968	RXN-19306 // RXN-19307 // RXN-19324
PWY-8164	RXN-21566 // RXN-21562 // RXN-21550
PWY-1921	RXN-3167 // RXN-3166 // RXN-3165 // RXN-3164 // RXN-3163
PWY-6963	GLUTAMATE-SYNTHASE-NADH-RXN // GLUTAMINESYN-RXN
PWY1F-353	RXN-6268 // BADH-RXN // RXN1F-357
PWY-1722	METHYLENETHFDEHYDROG-NADP-RXN // FORMATETHFLIG-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY-7067	RXN-13499 // RXN-13498 // RXN-13497
PWY-8023	RXN-20006 // RXN-20005 // RXN-20004
PWY-7650	RXN-16503 // RXN-16508 // RXN-16507 // RXN-16506 // RXN-16505 // RXN-16504 // RXN-16502 // RXN-16501 // RXN-16500 // RXN-16499 // RXN-16498
PWY-7749	RXN-17350 // RXN-17349 // RXN-16344
SALVADEHYPOX-PWY	AMP-DEPHOSPHORYLATION-RXN // RXN-7682 // RXN0-901 // ADENODEAMIN-RXN // INOPHOSPHOR-RXN
PWY-5347	CYSTATHIONINE-BETA-LYASE-RXN // HOMOCYSMETB12-RXN // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // ASPAMINOTRANS-RXN
PWY-8428	RXN-19966 // RXN-19965
PWY-7948	RXN-19192 // RXN-19185 // RXN-19186 // RXN-19187 // RXN-19188 // RXN-19189 // RXN-19190 // RXN-12560 // RXN-12561
P343-PWY	RXN-17557 // RXN-10137 // MALEYLACETATE-REDUCTASE-RXN
SUCUTIL-PWY	SUCROSEPHOSPHO-RXN // FRUCTOKINASE-RXN // 3.2.1.26-RXN
PWY-8033	RXN-23592 // RXN-20202 // RXN-20207 // RXN-20206 // RXN-20208 // RXN-20209 // RXN-20210
P261-PWY	4.4.1.19-RXN // R234-RXN // R233-RXN // R232-RXN // R231-RXN // R230-RXN // R229-RXN
