Reaction	In-Pathway
RXN-14659	
RXN-9155	PWY-5822
RXN-20776	
FLAVANONE-4-REDUCTASE-RXN	
2.7.4.10-RXN	
RXN-10874	
4.2.1.98-RXN	
3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN	M-CRESOL-DEGRADATION-PWY
RXN-10679	PWY-6289
RXN-7657	PWY-7396 // PWY-7111 // PWY-5057
RXN-17116	PWY-7726
RXN-22006	PWY-8202
RXN-23757	PWY-8438
R186-RXN	
RXN-13694	PWY-7114
RXN-16922	PWY-7695
RXN1G-440	PWYG-321
RXN-12058	
RXN-13089	PWY-6993 // PWY66-201
RXN-19587	PWYQT-4475
RXN-16552	PWY-7656
RXN-11717	PWY-6627
PREPHENATE-TRANSAMINE-RXN	PWY-3462 // PWY-6120 // PWY-3461
RXN-16011	PWY-6048 // RXN-12573
RXN-16991	PWY-7706
RXN-21225	
RXN-18941	PWY-7484 // RXN-18943
RXN-19179	PWY-7947
RXN-18821	
RXN-15129	LCYSDEG-PWY // LCYSDESULF-RXN
RXN-20575	PWY-8056
RXN-9745	PWY-6051
RXN-20048	
RXN-16543	PWY-7654
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	
RXN2G6Z-16	
RXN-18386	
1.6.5.4-RXN	PWY-6370
RXN-24051	PWY-6493 // RXN-11389
RXN-21507	
RXN-15730	PWY-7539
RXN-13393	
RXN-23339	
RXN-14104	
RXN-17527	RXN-10830
RXN-14124	
RXN-13930	PWY-7161
RXN-8795	RXN-17427
RXN-16521	RXN-16522
RXN-24506	PWY-8516
RXN0-5065	
RXN-22323	PWY-4202
1.6.6.12-RXN	
RXN-24431	PWY-8504
2OXOGLUTARATEDEH-RXN	TCA-1 // PWY66-398 // PWY-5690 // TCA
RXN-13253	PWY-7028
RXN-24522	PWY-8518
RXN-11008	RXN-24286 // PWY-6378
RXN-4261	PWY-2601
METHANOL-OXIDASE-RXN	PWY-5506
RXN-9887	PWY-6093
RXN-23535	PWY-8408
RXN-18239	
RXN-14128	PWY-8504
RXN-24131	
RXN-19680	PWY-8000
RXN0-7367	
RXN-18832	
1.1.1.168-RXN	PWY-3961
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN	PWY-6239
RXN-11580	
RXN-22955	
OMEGA-AMIDASE-RXN	
RXN-13335	
RXN-17351	PWY-6824 // PWY-5466 // PWY-5469
RXN-16855	PWY-7689
RXN-17249	PWY-7743
RXN-20740	PWY-8066
RXN-10851	PWY-5294
RXN-8921	PWY-5701
2.4.1.67-RXN	PWY-5337
RXN-8627	PWY-7378
1.14.13.37-RXN	PWY-7507
RXN-9072	PWY-5780
RXN-22631	
KETOISOCAPROATE-RXN	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN
RXN-20012	PWY-8022
THI-P-KIN-RXN	PWY-8457 // PWY-6897 // PWY-6893 // PWY-6894 // PWY-6896
3-OXOACYL-ACP-SYNTH-RXN	FASYN-ELONG-PWY
RXN-20066	PWY-5169
3.2.1.98-RXN	
RXN-4002	PWY-2467 // PWY-2229
RXN-19196	
RXN-13139	PWY-8137
RXN-18482	PWY-7859
RXN-19898	PWY-8016
RXN-9151	PWY-5822
5.1.1.15-RXN	
RXN-9631	PWY-5992
RXN-23574	PWY-8412
RXN-16438	
RXN-21848	PWY-8193
RXN-17838	PWY-7797
RXN-13730	PWY-7119
R345-RXN	PWY-7962
RXN-863	PWY-81
3.1.26.5-RXN	PWY-8471 // PWY-8470 // PWY0-1479
5.1.3.23-RXN	PWY-7090
RXN-7732	PWY-5094
RXN-12260	PWY-6767
RXN-10118	
FUCULOKIN-RXN	FUCCAT-PWY
RXN-11153	PWY-6415
12-ALPHA-L-FUCOSIDASE-RXN	
RXN-14275	PWY-6920
RXN-11753	
R23-RXN	PWY-5392
RXN-19396	
RXN-23054	PWY-8358
HIPPURATE-HYDROLASE-RXN	
RXN-15495	PWY-7492
RXN-15422	PWY-8437
RXN-14665	PWY-7304
2.3.1.133-RXN	PWY-6039 // PWY-6040 // PWY-8157 // PWY-361 // PWY-6320
PHENYLSERINE-ALDOLASE-RXN	
RXN-22956	PWY-8319
RXN-10872	PWY-6334
2.4.1.104-RXN	PWY-7056
RXN2DNV-43	PWY2DNV-11
RXN-13752	
RXN-23328	
RXN-9162	PWY-5821
RXN-13660	PWY-7104
RXN-12142	PWY-6710
3.4.21.27-RXN	PWY66-432
RXN-3542	PWY-2321
RXN-13990	
RXN-24235	
RXN-18392	
RXN-17142	PWY-7733
TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN	PWY-7515
RXN-974	
RXN-14432	PWY-7256
RXN-9545	PWY-5972
RXN-13886	SOPHOROSYLOXYDOCOSANOATE-SYN-PWY
RXN1F-461	PWY-5320 // PWY-7168 // PWY-7143 // PWY-5348
RXN-20320	PWY-8039
LACCASE-RXN	
RXN-19530	PWY-7991
RXN-12210	RXN-20202
RXN-12266	
RXN-18775	PWY-7905
GARTRANSFORMYL2-RXN	PWY-6277 // PWY-6122
THIOSULFATE--THIOL-SULFURTRANSFERASE-RXN	
RXN-15245	PWY-8071
RXN-13553	PWY-7079
RXN-14803	PWY-7340
METHYLVALERATE-RXN	2KETO-3METHYLVALERATE-RXN
LYXK-RXN	LYXMET-PWY
RXN0-384	
RXN-21376	
RXN-12137	PWY-6710
RXN-16772	
RXN-12261	PWY-6766 // PWY-6763
RXN-18916	PWY-7919
RXN-19878	PWY-8013
RXN-10095	PWY-6192
R547-RXN	PWY-6989 // P601-PWY
RXN-13288	PWY-7035
RXN-23128	
RXN-21101	PWY-8117
RXN-19063	
RXN-23879	
3.5.1.83-RXN	
RXN-20308	PWY-8038
RXN-18474	PWY-7862
RXN-24557	PWY-8216
XANTHOMMATIN-REDUCTASE-RXN	PWY-8249
RXN-12477	PWY-6829
RXN-12400	PWY-6807
RXN-11578	
RXN-23321	PWY-8386
URA-PHOSPH-RXN	PWY-7181
RXN-22407	
RXN-24284	PWY-8486
BUTYRYL-COA-DEHYDROGENASE-RXN	PWY0-1337
RXN-11296	PWY-6459
RXN-17687	PWY-5770
RXN-7750	PWY-2083
RXN1G-962	PWYG-321
RXN-22782	
IODOPHENOL-O-METHYLTRANSFERASE-RXN	
RXN-21773	PWY-8181
PMPOXI-RXN	PLPSAL-PWY // PWY-7204
SEPIAPTERIN-REDUCTASE-RXN	
RXN-11117	PWY-6408 // RXN-19468
RXN-24489	RXN-24493 // PWY-8513
RXN-4861	PWY-7680 // PWY-5411 // PWY-5422 // PWY-5421 // PWY-5414 // PWY-5413 // PWY-5412
RXN-10731	
RXN-19661	PWY-6325
RXN-21510	
RXN-20627	
CYSTHIOCYS-RXN	
RXN-7185	
RXN-13569	
RXN-20394	SPHINGOLIPID-SYN-PWY
RXN-19852	PWY-8012
RXN-19173	PWY-7945
RXN0-6435	PWY-8319
DTDP-GALACTOSE-6-DEHYDROGENASE-RXN	
RXN-18302	PWY-7840
RXN-11619	PWY-6650 // PWY-6575
RXN-15115	
RXN-13491	PWY-7066
3.1.2.27-RXN	
RXN-13489	PWY-7066 // RXN-19714
RXN-21884	PWY-8237
RXN-20043	
RXN-8495	PWY-8395 // PWY-5406 // PWY-5408 // PWY-5407
RXN-18103	JUGLONE-3-MONOOXYGENASE-RXN
RXN-1026	
1.2.1.47-RXN	PWY-6100
RXN-17462	PWY-7760 // RXN-18421
RXN-18318	PWY-7842
RXN-11623	PWY-6577
RXN-11550	PWY-6553
FORMYL-COA-HYDROLASE-RXN	PWY66-387 // PWY66-388 // PWY-7985 // PWY-6696
RXN-5183	PWY-3081
RXN-18975	
RXN-2602	PWY-361 // PWY-6027
RXN-21343	PWY-8134
MALTODEG-RXN	
RXN-17132	
2TRANSKETO-RXN	PWY-8178 // PWY-6901 // CALVIN-PWY // PWY-5723 // NONOXIPENT-PWY // P185-PWY // PWY-1861 // P21-PWY
3.2.2.11-RXN	
RXN-12276	PWY-6724
RXN-16872	PWY-7690
RXN-21749	PWY-8179
RXN-19963	RXN-19962
RXNQT-4167	
THIOETHER-S-METHYLTRANSFERASE-RXN	
2.3.1.158-RXN	
RXN-21902	
RXN-20871	PWY-8083
RXN-17624	
RXN-20460	PWY-8047
RXN-7697	PWY-5080
RXN-12806	PWY-6953
5.1.1.11-RXN	
RXN-18049	PWY-7818
RXN-9149	PWY-5822
RXN-21197	PWY-8118
RXN-11101	PWY-2582
RXN-16544	PWY-7655
RXN-17833	PWY-7797
RXN1G-951	PWYG-321
CYTIDEAM-RXN	PWY-7181 // PWY-7199
RXN0-7392	PWY0-1309
LINOLEATE-ISOMERASE-RXN	
2.1.1.72-RXN	
RXN-16058	PWY-7591
RXN-22874	
RXN-15019	PWY-7403
RXN-9779	PWY-6368 // PWY-6367
RXN3O-9962	PWY-7282
RXN-15123	4.1.99.4-RXN // HOMOCYSTEINE-DESULFHYDRASE-RXN // METBALT-RXN // RXN-15130 // PWY-701 // METHIONINE-GAMMA-LYASE-RXN // HOMOSERDEAM-RXN // PWY-5826 // PWY-5437 // THREDEHYD-RXN // ILEUSYN-PWY
RXN-24409	
RXN-23874	PWY-7950
RXN-15746	PWY-7542
RXN-21365	
RXN-8660	
RXN-23103	PWY-7100
RXNQT-4337	PWYQT-4474
RXN-13054	AEROBACTINSYN-PWY
RXN-4727	PWY-2881
RXN-13688	
RXN-11472	PWY-8255
RXN-14289	
3-SULFINYL-PYRUVATE-SPON-RXN	CYSTEINE-DEG-PWY
RXN18C3-34	PWY18C3-16 // PWY18C3-10
RXN-20085	
RXN-943	PWY-142
RXN-20529	PWY-8052
RXN-17921	RXN-15713
