	D-Glucose	D-Lactose	Maltose	Sucrose	D-Fructose	L-Glutamic-acid	Salicin	LB Without Glycine	LB Without Serine	LB Without Threonine	LB	LB Plus Glycine	LB Plus Serine	LB Plus Threonine
L-ornithine biosynthesis II [ARGININE-SYN4-PWY] 	0.044976	0.086408	0.087257	0.090096	0.044449	0.021126	0.042285	0.020371	0.0	0.0	0.0	0.0	0.0	0.0
chorismate biosynthesis I [ARO-PWY] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
coenzyme A biosynthesis I (bac... [COA-PWY] 	0.017916	0.035206	0.035068	0.036709	0.017844	0.009792	0.017229	0.00689	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine biosynthesis I [GLNSYN-PWY] 	0.141323	0.27236	0.271993	0.283985	0.140579	0.077319	0.133289	0.071213	0.0	0.0	0.0	0.0	0.0	0.0
D-gluconate degradation [GLUCONSUPER-PWY] 	0.118175	0.29732	0.294984	0.31001	0.117709	0.052608	0.145497	0.073909	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate degradation I [GLUTAMATE-DEG1-PWY] 	0.014495	0.025483	0.029156	0.02657	0.013482	0.010279	0.012464	0.015884	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate biosynthesis II [GLUTAMATE-SYN2-PWY] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.010403	0.025754	0.023146	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine degradation I [GLUTAMINDEG-PWY] 	0.051406	0.09699	0.096014	0.10113	0.051406	0.028452	0.047462	0.015568	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine degradation II [GLUTAMINEFUM-PWY] 	0.007932	0.017185	0.0193	0.017918	0.007142	0.017925	0.008419	0.014839	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate biosynthesis III [GLUTSYNIII-PWY] 	0.043474	0.079805	0.076715	0.083211	0.044264	0.010527	0.039043	0.030407	0.0	0.0	0.0	0.0	0.0	0.0
glycine biosynthesis I [GLYSYN-PWY] 	0.613707	1.177586	1.177573	1.227847	0.611147	0.304201	0.576228	0.359285	0.0	0.0	0.0	0.0	0.0	0.0
Kdo transfer to lipid IV<sub>A... [KDOSYN-PWY] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
L-leucine biosynthesis [LEUSYN-PWY] 	0.029377	0.056113	0.05582	0.058508	0.029344	0.018716	0.027458	0.01306	0.0	0.0	0.0	0.0	0.0	0.0
NAD biosynthesis from nicotina... [NAD-BIOSYNTHESIS-III] 	0.018802	0.035713	0.035648	0.037238	0.018729	0.010535	0.017477	0.011411	0.0	0.0	0.0	0.0	0.0	0.0
L-ornithine degradation I (L-p... [ORN-AMINOPENTANOATE-CAT-PWY] 	0.002856	0.005309	0.005085	0.005536	0.002986	0.0	0.002607	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pentose phosphate pathway (oxi... [OXIDATIVEPENT-PWY] 	0.186224	0.355625	0.351097	0.370804	0.185964	0.078372	0.174029	0.124592	0.0	0.0	0.0	0.0	0.0	0.0
L-phenylalanine biosynthesis I [PHESYN] 	0.017359	0.033052	0.03306	0.034463	0.017292	0.010136	0.016173	0.008141	0.0	0.0	0.0	0.0	0.0	0.0
L-proline biosynthesis I (from... [PROSYN-PWY] 	0.058687	0.111365	0.111097	0.116118	0.058398	0.030571	0.054485	0.038158	0.0	0.0	0.0	0.0	0.0	0.0
formate oxidation to CO<sub>2<... [PWY-1881] 	0.203115	0.389579	0.389579	0.406206	0.202271	0.004423	0.190632	0.216538	0.0	0.0	0.0	0.0	0.0	0.0
L-proline biosynthesis III (fr... [PWY-3341] 	0.04931	0.092901	0.092046	0.096866	0.049236	0.028857	0.045442	0.03763	0.0	0.0	0.0	0.0	0.0	0.0
D-galactose detoxification [PWY-3821] 	0.019696	0.017182	0.017112	0.017915	0.019618	0.008768	0.008408	0.012318	0.0	0.0	0.0	0.0	0.0	0.0
geranyl diphosphate biosynthes... [PWY-5122] 	0.003396	0.006467	0.006468	0.006743	0.003383	0.001983	0.003164	0.001593	0.0	0.0	0.0	0.0	0.0	0.0
<i>trans [PWY-5123] 	0.003396	0.006467	0.006468	0.006743	0.003383	0.001983	0.003164	0.001593	0.0	0.0	0.0	0.0	0.0	0.0
long-chain fatty acid activati... [PWY-5143] 	0.002246	0.005221	0.005218	0.005444	0.002234	0.001266	0.002555	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pyruvate fermentation to (<i>S... [PWY-5481] 	0.046183	0.089143	0.087282	0.092948	0.046489	0.032122	0.043622	0.029965	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate degradation X [PWY-5766] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.010403	0.025754	0.023146	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein metabolis... [PWY-6012] 	0.035382	0.069547	0.06927	0.072515	0.03524	0.019225	0.034035	0.013418	0.0	0.0	0.0	0.0	0.0	0.0
acyl carrier protein activatio... [PWY-6012-1] 	0.035309	0.069407	0.069129	0.072369	0.035167	0.019182	0.033966	0.013384	0.0	0.0	0.0	0.0	0.0	0.0
chorismate biosynthesis from 3... [PWY-6163] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
3-dehydroquinate biosynthesis ... [PWY-6164] 	0.056578	0.105143	0.106291	0.109631	0.056333	0.035488	0.051425	0.028836	0.0	0.0	0.0	0.0	0.0	0.0
UDP-<i>N</i>-acetylmuramoyl-pe... [PWY-6387] 	0.002954	0.005625	0.005626	0.005865	0.002943	0.001725	0.002752	0.001386	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6599] 	0.00425	0.009383	0.009118	0.009783	0.004235	0.002227	0.004593	0.009211	0.0	0.0	0.0	0.0	0.0	0.0
guanine and guanosine salvage ... [PWY-6620] 	0.00196	0.004481	0.004325	0.004672	0.001954	0.001457	0.002194	0.009374	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-phenylalanin... [PWY-6628] 	0.044812	0.083516	0.084321	0.08708	0.04462	0.027883	0.04085	0.022628	0.0	0.0	0.0	0.0	0.0	0.0
UTP and CTP <i>de novo</i> bio... [PWY-7176] 	0.104278	0.179574	0.179231	0.187239	0.103893	0.054098	0.087891	0.042223	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine nucleobases salvage... [PWY-7183] 	0.004113	0.007905	0.007905	0.008243	0.004095	0.001105	0.003868	0.000111	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine ribonucleosides sal... [PWY-7193] 	0.033828	0.066046	0.065968	0.068865	0.033692	0.02054	0.032318	0.016301	0.0	0.0	0.0	0.0	0.0	0.0
pyrimidine deoxyribonucleotide... [PWY-7197] 	0.035349	0.070918	0.071158	0.073945	0.035188	0.022994	0.034701	0.013928	0.0	0.0	0.0	0.0	0.0	0.0
CMP phosphorylation [PWY-7205] 	0.017312	0.038268	0.038468	0.039902	0.017229	0.01426	0.018717	0.005299	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of pyrimidine nuc... [PWY-7208] 	0.079237	0.136657	0.136399	0.14249	0.078944	0.040849	0.066885	0.031695	0.0	0.0	0.0	0.0	0.0	0.0
guanosine ribonucleotides <i>d... [PWY-7221] 	0.044861	0.086126	0.08586	0.089802	0.044688	0.025312	0.042147	0.033701	0.0	0.0	0.0	0.0	0.0	0.0
purine deoxyribonucleosides sa... [PWY-7224] 	0.05885	0.115077	0.11481	0.119988	0.05862	0.033938	0.056313	0.02467	0.0	0.0	0.0	0.0	0.0	0.0
fructose degradation [PWY0-1314] 	0.008115	0.015597	0.00435	0.016263	0.00808	0.001334	0.007632	0.006156	0.0	0.0	0.0	0.0	0.0	0.0
sedoheptulose bisphosphate byp... [PWY0-1517] 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005953	0.0	0.0	0.0	0.0	0.0	0.0
PRPP biosynthesis [PWY0-662] 	0.148088	0.285133	0.285318	0.297302	0.147479	0.083187	0.139529	0.057895	0.0	0.0	0.0	0.0	0.0	0.0
NAD salvage pathway IV (from n... [PWY3O-4106] 	0.057919	0.110838	0.110469	0.115568	0.057695	0.031954	0.054241	0.027634	0.0	0.0	0.0	0.0	0.0	0.0
superpathway of L-serine and g... [SER-GLYSYN-PWY] 	0.635882	1.219809	1.219806	1.271872	0.633237	0.317149	0.596889	0.369685	0.0	0.0	0.0	0.0	0.0	0.0
L-serine biosynthesis I [SERSYN-PWY] 	0.643273	1.233883	1.233883	1.286547	0.6406	0.321465	0.603776	0.373152	0.0	0.0	0.0	0.0	0.0	0.0
