	D-Glucose	D-Lactose	Maltose	Sucrose	D-Fructose	L-Glutamic-acid	Salicin	LB Without Glycine	LB Without Serine	LB Without Threonine	LB	LB Plus Glycine	LB Plus Serine	LB Plus Threonine
L-arginine degradation VI (arg... [ARG-PRO-PWY] 	0.04931	0.092901	0.092046	0.096866	0.049236	0.028857	0.045442	0.03763	0.0	0.0	0.0	-0.0	0.0	0.0
L-ornithine biosynthesis II [ARGININE-SYN4-PWY] 	0.006455	0.012334	0.012412	0.012861	0.006383	0.004325	0.006033	0.003474	0.0	0.0	0.0	-0.0	0.0	0.0
chorismate biosynthesis I [ARO-PWY] 	0.040413	0.075102	0.075922	0.078308	0.040238	0.025349	0.036732	0.020597	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
coenzyme A biosynthesis I (bac... [COA-PWY] 	0.017769	0.034926	0.034787	0.036417	0.017697	0.009706	0.017092	0.006821	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
superpathway of aromatic amino... [COMPLETE-ARO-PWY] 	0.015881	0.029429	0.027654	0.030686	0.015811	0.010039	0.014393	0.007554	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
reactive oxygen species degrad... [DETOX1-PWY-1] 	0.004524	0.009001	0.009315	0.009385	0.004424	0.003596	0.004405	0.003755	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine biosynthesis I [GLNSYN-PWY] 	0.141323	0.27236	0.271993	0.283985	0.140579	0.077319	0.133289	0.071213	0.0	0.0	0.0	0.0	0.0	0.0
D-gluconate degradation [GLUCONSUPER-PWY] 	0.118175	0.29732	0.294984	0.31001	0.117709	0.052608	0.145497	0.073909	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamate degradation I [GLUTAMATE-DEG1-PWY] 	0.014495	0.025483	0.029156	0.02657	0.013482	-0.010279	0.012464	0.015884	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
L-glutamate biosynthesis II [GLUTAMATE-SYN2-PWY] 	0.028984	0.052644	0.052935	0.054891	0.028873	0.000124	0.025754	0.023146	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
L-glutamine degradation I [GLUTAMINDEG-PWY] 	0.051406	0.09699	0.096014	0.10113	0.051406	0.028452	0.047462	0.015568	0.0	0.0	0.0	0.0	0.0	0.0
L-glutamine degradation II [GLUTAMINEFUM-PWY] 	-0.007932	-0.017185	-0.0193	-0.017918	-0.007142	-0.017925	-0.008419	0.014839	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
L-glutamate biosynthesis III [GLUTSYNIII-PWY] 	0.043474	0.079805	0.076715	0.083211	0.044264	0.010527	0.039043	0.030407	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
glycine biosynthesis I [GLYSYN-PWY] 	0.613707	1.177586	1.177573	1.227847	0.611147	0.304201	0.576228	0.359285	0.0	0.0	0.0	-0.0	0.0	0.0
L-histidine biosynthesis [HISTSYN-PWY] 	-0.003914	-0.007453	-0.007454	-0.007771	-0.003899	-0.002285	-0.003647	-0.001836	0.0	0.0	0.0	0.0	0.0	0.0
Kdo transfer to lipid IV<sub>A... [KDOSYN-PWY] 	-0.002954	-0.005625	-0.005626	-0.005865	-0.002943	-0.001725	-0.002752	-0.001386	0.0	0.0	0.0	0.0	0.0	0.0
L-leucine biosynthesis [LEUSYN-PWY] 	0.007134	0.013759	0.013457	0.014346	0.007186	0.005727	0.006733	0.002588	0.0	0.0	0.0	-0.0	0.0	0.0
NAD biosynthesis from nicotina... [NAD-BIOSYNTHESIS-III] 	0.01746	0.03314	0.033074	0.034554	0.017393	0.009559	0.016218	0.010479	0.0	0.0	0.0	0.0	0.0	0.0
L-ornithine degradation I (L-p... [ORN-AMINOPENTANOATE-CAT-PWY] 	0.002856	0.005309	0.005085	0.005536	0.002986	0.0	0.002607	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pentose phosphate pathway (oxi... [OXIDATIVEPENT-PWY] 	0.186224	0.355625	0.351097	0.370804	0.185964	0.078372	0.174029	0.124592	0.0	0.0	0.0	0.0	0.0	0.0
pyruvate fermentation to aceta... [P41-PWY] 	-0.14473	-0.285016	-0.284032	-0.297181	-0.144414	-0.100774	-0.139458	-0.040436	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
superpathway of coenzyme A bio... [PANTOSYN-PWY] 	0.008811	0.017323	0.017253	0.018062	0.008775	0.00481	0.008477	0.003376	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
pentose phosphate pathway [PENTOSE-P-PWY] 	0.061539	0.118275	0.115652	0.123323	0.061542	0.020514	0.057885	0.051276	0.0	0.0	0.0	-0.0	0.0	0.0
L-phenylalanine biosynthesis I [PHESYN] 	-0.008203	-0.015618	-0.015622	-0.016285	-0.008171	-0.00479	-0.007642	-0.003847	0.0	0.0	0.0	0.0	0.0	0.0
L-proline biosynthesis I (from... [PROSYN-PWY] 	0.035574	0.06692	0.06619	0.069776	0.035559	0.02049	0.032734	0.02802	0.0	0.0	0.0	0.0	0.0	0.0
formate oxidation to CO<sub>2<... [PWY-1881] 	-0.203115	-0.389579	-0.389579	-0.406206	-0.202271	0.004423	-0.190632	-0.216538	0.0	0.0	0.0	-0.0	0.0	0.0
Entner-Doudoroff pathway III (... [PWY-2221] 	0.035164	0.083802	0.087827	0.087379	0.03517	0.02018	0.041007	0.017966	-0.0	-0.0	-0.0	0.0	-0.0	-0.0
L-proline biosynthesis III (fr... [PWY-3341] 	0.04931	0.092901	0.092046	0.096866	0.049236	0.028857	0.045442	0.03763	0.0	0.0	0.0	-0.0	0.0	0.0
D-galactose detoxification [PWY-3821] 	0.019696	0.017182	0.017112	0.017915	0.019618	0.008768	0.008408	0.012318	0.0	0.0	0.0	0.0	0.0	0.0
geranyl diphosphate biosynthes... [PWY-5122] 	-0.003396	-0.006467	-0.006468	-0.006743	-0.003383	-0.001983	-0.003164	-0.001593	0.0	0.0	0.0	0.0	0.0	0.0
<i>trans [PWY-5123] 	-0.003396	-0.006467	-0.006468	-0.006743	-0.003383	-0.001983	-0.003164	-0.001593	0.0	0.0	0.0	0.0	0.0	0.0
long-chain fatty acid activati... [PWY-5143] 	0.002246	0.005221	0.005218	0.005444	0.002234	0.001266	0.002555	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pyruvate fermentation to (<i>S... [PWY-5481] 	-0.046183	-0.089143	-0.087282	-0.092948	-0.046489	-0.032122	-0.043622	-0.029965	0.0	0.0	0.0	0.0	0.0	0.0
NAD biosynthesis from 2-amino-... [PWY-5653] 	-0.057063	-0.106922	-0.107696	-0.111485	-0.056825	-0.03489	-0.052304	-0.028196	0.0	0.0	0.0	-0.0	0.0	0.0
