metabolite_id	metabolite_name
cysi__L_e	L Cystine C6H12N2O4S2
dsbdrd_c	Fused thiol:disulfide interchange protein (reduced)
ribflv_p	Riboflavin C17H20N4O6
cysi__L_c	L Cystine C6H12N2O4S2
dsbard_p	Periplasmic protein disulfide isomerase I (reduced)
preq0_c	7-cyano-7-carbaguanine
aso3_c	Arsenite
gmplys_c	GMP-N-?-(N-?-acetyl lysine methyl ester) 5'-phosphoramidate
tcynt_c	Thiocyanate
apg141_c	Acyl phosphatidylglycerol (n-C14:1)
dkdglcn_c	2,5-Diketo-3-deoxy-D-gluconate
chtbs_p	N,N'-diacetylchitobiose
ag_e	Silver
2pglyc_c	2-Phosphoglycolate
o16a4colipa_e	(O16 antigen)x4 core oligosaccharide lipid A
dmbzid_c	5,6-Dimethylbenzimidazole
udcpgl_c	Undecaprenol-diphosphate-glucose
acanth_c	N-Acetylanthranilate
so2_p	Sulfur dioxide
dxyl_c	1-deoxy-D-xylulose
bwco_c	Tungsten bispterin cofactor
f_p	Fluoride
oxalcoa_c	Oxalyl-CoA
preq1_c	7-aminomethyl-7-deazaguanine
bmoco_c	Bis-molybdenum cofactor
bmoco1gdp_c	Bis-molybdopterin mono-guanine dinucleotide
f_e	Fluoride
iprimv_c	Isoprimeverose
2dhguln_c	2-Dehydro-L-gulonate
psuri_c	Pseudouridine
cyan_c	Hydrogen cyanide
gp4g_c	P1,P4-Bis(5'-guanosyl) tetraphosphate
sucr_p	Sucrose C12H22O11
kdo2lipid4p_c	KDO(2)-lipid IV(A) with palmitoleoyl
dhmptp_c	Dihydromonapterin-triphosphate
cpe160_c	Cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)
alpp_p	Applipoprotein
lpp_p	Lipoprotein
ghb_c	Gamma-hydroxybutyrate
3hbz_c	3-Hydroxybenzoate
lipa_cold_p	Cold adapted KDO(2)-lipid (A)
colipap_p	Core oligosaccharide lipid A diphosphate
2hptcl_c	2-hydroxycyclohepta-1,4,6-triene-1-carboxylate
met__D_c	D-Methionine
aso4_c	Arsenate
gdpofuc_c	GDP-4-oxo-L-fucose
rbl__D_c	D-Ribulose
cd2_e	Cadmium
met__D_e	D-Methionine
gbbtn_c	Gamma-butyrobetaine
Nmtrp_c	N-Methyltryptophan
arab__D_c	D Arabinose C5H10O5
2doxg6p_c	2 Deoxy D glucose 6 phosphate C6H11O8P
dt5hsu_c	4-Deoxy-L-threo-5-hexosulose uronate
acmalt_c	Acetyl-maltose
slnt_p	Selenite
apg181_c	Acyl phosphatidylglycerol (n-C18:1)
cellb_p	Cellobiose
gam_c	D-Glucosamine
mercpeth_c	Mercaptoethanol
psuri_p	Pseudouridine
puacgam_p	Poly-?-1,6-N-acetyl-D-glucosamine
apg140_c	Acyl phosphatidylglycerol (n-C14:0)
mi1p__D_c	1D-myo-Inositol 1-phosphate
lipa_cold_e	Cold adapted KDO(2)-lipid (A)
bwcogdp_c	Tungsten bispterin cofactor guanine dinucleotide
thptdn_c	5,6,7,8-tetrahydropteridine
dhcholn_c	3?,12?-dihydroxy-7-oxo-5?-cholan-24-oate
gbbtn_p	Gamma-butyrobetaine
cbi_p	Cobinamide
crnDcoa_c	D-carnitinyl-CoA
5prdmbz_c	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole
